class,uniprot_id,name
positive,A0A645BXB4,A0A645BXB4_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_11 PE=3 SV=1
negative,A0A428NMW1,A0A428NMW1_9HYPO beta-glucosidase OS=Fusarium duplospermum OX=1325734 GN=CEP54_015592 PE=3 SV=1
positive,A0A7X7YR58,A0A7X7YR58_9THEM Beta-glucosidase OS=Thermotogaceae bacterium OX=2268206 GN=GX468_03125 PE=3 SV=1
negative,A0A9J9BEM0,A0A9J9BEM0_PSEA6 beta-glucosidase OS=Pseudoalteromonas atlantica (strain T6c / ATCC BAA-1087) OX=3042615 GN=Patl_3730 PE=3 SV=1
positive,A0A1T4T1S7,A0A1T4T1S7_9ACTN Beta-glucosidase OS=Marinactinospora thermotolerans DSM 45154 OX=1122192 GN=SAMN02745673_04297 PE=3 SV=1
negative,A0A8E0V1H1,A0A8E0V1H1_9EURO Probable alpha/beta-glucosidase agdC OS=Aspergillus udagawae OX=91492 GN=Aud_007942 PE=3 SV=1
positive,A0A3E0QT31,A0A3E0QT31_9BACL beta-glucosidase OS=Thermobacillus sp OX=2108467 GN=C6W55_12435 PE=4 SV=1
negative,A0A1A6A050,A0A1A6A050_9TREE beta-glucosidase OS=Kwoniella dejecticola CBS 10117 OX=1296121 GN=I303_05711 PE=3 SV=1
positive,F6DJP6,F6DJP6_THETG Beta-glucosidase OS=Thermus thermophilus (strain SG0.5JP17-16) OX=762633 GN=Ththe16_2282 PE=3 SV=1
negative,A0A072UMI1,A0A072UMI1_MEDTR Cyanogenic beta-glucosidase- putative OS=Medicago truncatula OX=3880 GN=25492624 PE=3 SV=1
positive,A0A1R4B0V1,A0A1R4B0V1_9VIBR Thermostable beta-glucosidase B OS=Vibrio palustris OX=1918946 GN=bglB_1 PE=3 SV=1
negative,A0A423GTD5,A0A423GTD5_9PSED beta-glucosidase OS=Pseudomonas brassicacearum OX=930166 GN=BK658_11960 PE=4 SV=1
positive,A0A5J4KCW8,A0A5J4KCW8_9CHLR Beta-glucosidase OS=Thermogemmatispora aurantia OX=2045279 GN=KTAU_38900 PE=3 SV=1
negative,A0A7W3ITJ4,A0A7W3ITJ4_9ACTN Beta-glucosidase OS=Microlunatus kandeliicorticis OX=1759536 GN=FHX74_002615 PE=3 SV=1
positive,A0A7J5ULD3,A0A7J5ULD3_9MICO Beta-glucosidase OS=Georgenia thermotolerans OX=527326 GN=GB883_16000 PE=3 SV=1
negative,A0A3M6WZP9,A0A3M6WZP9_HORWE beta-glucosidase OS=Hortaea werneckii OX=91943 GN=D0868_07312 PE=3 SV=1
positive,A0A9X1HHU4,A0A9X1HHU4_9BACT beta-glucosidase OS=Rhodothermaceae bacterium OX=2026787 GN=bglX PE=3 SV=1
negative,A0A9P5D309,A0A9P5D309_9HYPO beta-glucosidase OS=Geosmithia morbida OX=1094350 GN=GMORB2_7634 PE=3 SV=1
positive,A0A1Y6AUI1,A0A1Y6AUI1_9BACI Thermostable beta-glucosidase B OS=Bacillus mobilis OX=2026190 GN=bglB PE=3 SV=1
negative,A0A845AE37,A0A845AE37_9SPHN beta-glucosidase OS=Altericroceibacterium indicum OX=374177 GN=GRI39_13610 PE=4 SV=1
positive,A0A6N2RPL3,A0A6N2RPL3_BIFAD Thermostable beta-glucosidase B OS=Bifidobacterium adolescentis OX=1680 GN=bglB_1 PE=3 SV=1
negative,A0A1V9UGV1,A0A1V9UGV1_9PSED beta-glucosidase OS=Pseudomonas sp. Bc-h OX=1943632 GN=BWR59_22840 PE=3 SV=1
positive,A0A496QEY7,A0A496QEY7_9BACT Glycoside hydrolase family 1 protein (Fragment) OS=Thermotogota bacterium OX=2053689 GN=DRP32_02865 PE=3 SV=1
negative,F9HL45,F9HL45_STRMT Aryl-phospho-beta-D-glucosidase BglH OS=Streptococcus mitis SK1080 OX=1008453 GN=bglH PE=3 SV=1
positive,A0A1I2BW06,A0A1I2BW06_9BACT beta-glucosidase OS=Thermophagus xiamenensis OX=385682 GN=SAMN05444380_11456 PE=3 SV=1
negative,A0AA38RGV6,A0AA38RGV6_9PEZI Probable beta-glucosidase G OS=Pleurostoma richardsiae OX=41990 GN=NKR23_g11674 PE=3 SV=1
positive,A0A8J2BNG9,A0A8J2BNG9_9BACT beta-glucosidase OS=Candidatus Methylacidithermus pantelleriae OX=2744239 GN=bglX PE=3 SV=1
negative,A0A4S8XJ18,A0A4S8XJ18_AURPU beta-glucosidase OS=Aureobasidium pullulans OX=5580 GN=D6D25_04965 PE=3 SV=1
positive,A0A8J7QMJ2,A0A8J7QMJ2_9BACT beta-glucosidase OS=Candidatus Homeothermus sp OX=2584099 GN=J6B03_10845 PE=3 SV=1
negative,A0A1H4F2M7,A0A1H4F2M7_9FIRM Beta-glucosidase OS=Pseudobutyrivibrio sp. ACV-2 OX=1520801 GN=SAMN02910384_02708 PE=3 SV=1
positive,A0A543J1T3,A0A543J1T3_9ACTN Beta-glucosidase OS=Thermopolyspora flexuosa OX=103836 GN=FHX40_3518 PE=3 SV=1
negative,A0A0D0BF64,A0A0D0BF64_9AGAR Probable beta-glucosidase G OS=Collybiopsis luxurians FD-317 M1 OX=944289 GN=GYMLUDRAFT_198152 PE=3 SV=1
positive,A0A564WQ62,A0A564WQ62_9FIRM Thermostable beta-glucosidase B OS=Blautia wexlerae OX=418240 GN=bglB_1 PE=3 SV=1
negative,A0A511FGN9,A0A511FGN9_9CELL beta-glucosidase OS=Cellulomonas hominis OX=156981 GN=CHO01_35410 PE=4 SV=1
positive,A0A1Y5P0J3,A0A1Y5P0J3_9MICO Thermostable beta-glucosidase B OS=uncultured Microbacterium sp OX=191216 GN=bglB PE=3 SV=1
negative,A0A6A5XN58,A0A6A5XN58_9PLEO beta-glucosidase OS=Aaosphaeria arxii CBS 175.79 OX=1450172 GN=BU24DRAFT_348612 PE=3 SV=1
positive,F7YX70,F7YX70_9THEM Glycoside hydrolase family 1 OS=Pseudothermotoga thermarum DSM 5069 OX=688269 GN=Theth_1013 PE=3 SV=1
negative,A0A1C6M965,A0A1C6M965_9ACTN Beta-glucosidase OS=Streptomyces sp. LamerLS-316 OX=1157630 GN=B046DRAFT_01467 PE=3 SV=1
positive,A0A2M8Q0H3,A0A2M8Q0H3_9CHLR Beta-glucosidase OS=Candidatus Thermofonsia Clade 1 bacterium OX=2364210 GN=CUN50_00965 PE=3 SV=1
negative,A0A942CF65,A0A942CF65_UNCAI beta-glucosidase OS=Acidobacteriota bacterium OX=1978231 GN=JSS87_04775 PE=3 SV=1
positive,A0A8J7UD33,A0A8J7UD33_9BACT beta-glucosidase OS=Candidatus Homeothermus sp OX=2584099 GN=J6B03_10580 PE=4 SV=1
negative,A0A7X0TZ29,A0A7X0TZ29_9ACTN Beta-glucosidase OS=Nonomuraea rubra OX=46180 GN=HD593_003853 PE=3 SV=1
positive,A0A941EBJ0,A0A941EBJ0_9ACTN beta-glucosidase OS=Actinospica acidithermotolerans OX=2828514 GN=KDK95_06830 PE=4 SV=1
negative,A0A4Y9SI63,A0A4Y9SI63_9BURK Beta-glucosidase OS=Massilia arenosa OX=2561931 GN=E4L96_10405 PE=3 SV=1
positive,A0A2A5XN66,A0A2A5XN66_9BACT beta-glucosidase OS=Rhodothermaeota bacterium MED-G16 OX=1986238 GN=CND58_02975 PE=4 SV=1
negative,A0A1V4RDR7,A0A1V4RDR7_9BACT Beta-glucosidase OS=Candidatus Omnitrophica bacterium 4484_171 OX=1956173 GN=B1H08_03285 PE=3 SV=1
positive,Q0GC07,Q0GC07_THENN Beta-glucosidase OS=Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E) OX=309803 GN=bgl3B PE=1 SV=1
negative,A0A9E5GB62,A0A9E5GB62_UNCCL Beta-glucosidase OS=Clostridia bacterium OX=2044939 GN=EOM30_08700 PE=3 SV=1
positive,A0A1C5TCM4,A0A1C5TCM4_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB PE=3 SV=1
negative,A0A3F3QAX1,A0A3F3QAX1_9EURO beta-glucosidase OS=Aspergillus welwitschiae OX=1341132 GN=BDQ94DRAFT_167836 PE=3 SV=1
positive,A0A399ES34,A0A399ES34_9DEIN Beta-glucosidase B OS=Calidithermus roseus OX=1644118 GN=bglB_1 PE=3 SV=1
negative,I9USE4,I9USE4_9BACE beta-glucosidase OS=Bacteroides xylanisolvens CL03T12C04 OX=997892 GN=HMPREF1074_03057 PE=3 SV=1
positive,A0A654BK33,A0A654BK33_BACMY Thermostable beta-glucosidase B OS=Bacillus mycoides OX=1405 GN=bglB PE=3 SV=1
negative,A0A428TF96,A0A428TF96_9HYPO beta-glucosidase OS=Fusarium ambrosium OX=131363 GN=CDV31_011661 PE=3 SV=1
positive,G0S0L4,G0S0L4_CHATD beta-glucosidase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010430 PE=3 SV=1
negative,A0A9R0QYB3,A0A9R0QYB3_TRITD beta-glucosidase OS=Triticum turgidum subsp. durum OX=4567 GN=TRITD_1Bv1G158710 PE=3 SV=1
positive,D1CGH4,D1CGH4_THET1 Beta-glucosidase OS=Thermobaculum terrenum (strain ATCC BAA-798 / CCMEE 7001 / YNP1) OX=525904 GN=Tter_1939 PE=3 SV=1
negative,I0HEE6,I0HEE6_ACTM4 beta-glucosidase OS=Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NBRC 102363 / NCIMB 12654 / NRRL B-3342 / UNCC 431) OX=512565 GN=AMIS_61630 PE=4 SV=1
positive,A0A6N3CIH7,A0A6N3CIH7_MEDGN Thermostable beta-glucosidase B OS=Mediterraneibacter gnavus OX=33038 GN=bglB_6 PE=3 SV=1
negative,A0A8H8NZK0,A0A8H8NZK0_9AGAM beta-glucosidase OS=Rhizoctonia solani OX=456999 GN=RhiXN_09927 PE=3 SV=1
positive,A0A1V6ALF9,A0A1V6ALF9_9FIRM Thermostable beta-glucosidase B OS=Firmicutes bacterium ADurb.Bin146 OX=1852882 GN=bglB_1 PE=3 SV=1
negative,A0A0F4JS44,A0A0F4JS44_9ACTN beta-glucosidase OS=Streptomyces katrae OX=68223 GN=VR44_06825 PE=4 SV=1
positive,A0A7W0RH67,A0A7W0RH67_9ACTN Beta-glucosidase OS=Thermoleophilaceae bacterium OX=2732252 GN=H0U25_08895 PE=3 SV=1
negative,A0A257QV94,A0A257QV94_9PROT Beta-glucosidase OS=Acidocella sp. 20-58-15 OX=1970302 GN=B7Z77_01495 PE=3 SV=1
positive,A0A174TF67,A0A174TF67_BACT4 Thermostable beta-glucosidase B OS=Bacteroides thetaiotaomicron OX=818 GN=bglB_1 PE=3 SV=1
negative,A0AAD2X850,A0AAD2X850_9BACT beta-glucosidase OS=Prevotella sp. BV3P1 OX=1111130 GN=HMPREF1254_1905 PE=3 SV=1
positive,A0A1C5Y7U2,A0A1C5Y7U2_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_4 PE=3 SV=1
negative,A0A8H4JYM6,A0A8H4JYM6_9HYPO beta-glucosidase OS=Fusarium acutatum OX=78861 GN=FACUT_3759 PE=3 SV=1
positive,A0A1V6HPX5,A0A1V6HPX5_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin037 OX=1852800 GN=bglB PE=3 SV=1
negative,A0A060BYT1,A0A060BYT1_9PSED beta-glucosidase (Fragment) OS=uncultured Pseudomonas sp OX=114707 PE=4 SV=1
positive,A0A1C6AJZ2,A0A1C6AJZ2_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_1 PE=3 SV=1
negative,A0A6N9UWW4,A0A6N9UWW4_9ACTN Beta-glucosidase OS=Streptomyces coelicoflavus OX=285562 GN=G3I46_37930 PE=3 SV=1
positive,A0A449BD46,A0A449BD46_HAPAX Thermostable beta-glucosidase B OS=Haploplasma axanthum OX=29552 GN=bglB_2 PE=3 SV=1
negative,A0A9W9KNG3,A0A9W9KNG3_9EURO Probable beta-glucosidase G OS=Penicillium angulare OX=116970 GN=N7456_001813 PE=3 SV=1
positive,A0A840P1X6,A0A840P1X6_9ACTN beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_003088 PE=4 SV=1
negative,A0AA39MQY6,A0AA39MQY6_9AGAR beta-glucosidase OS=Armillaria borealis OX=47425 GN=EV421DRAFT_1807404 PE=3 SV=1
positive,A0A8J7SF92,A0A8J7SF92_9RHOB beta-glucosidase OS=Thermohalobaculum xanthum OX=2753746 GN=H0I76_03855 PE=4 SV=1
negative,A0A455VS94,A0A455VS94_ENTAS beta-glucosidase OS=Enterobacter asburiae OX=61645 GN=MRY18106EAS_28710 PE=3 SV=1
positive,G2R0T0,G2R0T0_THETT beta-glucosidase OS=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_2044936 PE=3 SV=1
negative,A0A699XFI4,A0A699XFI4_TANCI beta-glucosidase (Fragment) OS=Tanacetum cinerariifolium OX=118510 GN=Tci_929149 PE=3 SV=1
positive,A8F618,A8F618_PSELT Beta-glucosidase OS=Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) OX=416591 GN=Tlet_1036 PE=3 SV=1
negative,A0A975W9H5,A0A975W9H5_9RHOB Beta-glucosidase OS=Marinovum algicola OX=42444 GN=SAMN04487940_105119 PE=3 SV=1
positive,A0A399GW64,A0A399GW64_9ACTN Thermostable beta-glucosidase B OS=Streptomyces sp. YIM 130001 OX=2259644 GN=bglB3 PE=3 SV=1
negative,A0A9P5BL79,A0A9P5BL79_9HYPO beta-glucosidase OS=Fusarium agapanthi OX=1803897 GN=FAGAP_3028 PE=3 SV=1
positive,A0A0D0FQS3,A0A0D0FQS3_9BACI Beta-glucosidase OS=Caldibacillus thermoamylovorans OX=35841 GN=B4065_2407 PE=3 SV=1
negative,A0A367KWM0,A0A367KWM0_RHIST beta-glucosidase (Fragment) OS=Rhizopus stolonifer OX=4846 GN=CU098_000916 PE=3 SV=1
positive,A0A1V2EV44,A0A1V2EV44_9SPHN Thermostable beta-glucosidase B OS=Sphingomonas jeddahensis OX=1915074 GN=bglB PE=3 SV=1
negative,A0A7W8VCT3,A0A7W8VCT3_9ACTN Beta-glucosidase OS=Nocardiopsis composta OX=157465 GN=HDA36_001298 PE=3 SV=1
positive,A0A3S4RY17,A0A3S4RY17_9ACTO Thermostable beta-glucosidase B OS=Actinomyces howellii OX=52771 GN=bglB_2 PE=3 SV=1
negative,A0A6N9Q7R1,A0A6N9Q7R1_9BACL beta-glucosidase OS=Chengkuizengella marina OX=2507566 GN=ERL59_18500 PE=4 SV=1
positive,A0A455T9E8,A0A455T9E8_9CHLR beta-glucosidase OS=Thermogemmatispora argillosa OX=2045280 GN=KTA_42910 PE=4 SV=1
negative,A0A2J8DR25,A0A2J8DR25_VERDA Probable alpha/beta-glucosidase agdC OS=Verticillium dahliae OX=27337 GN=BJF96_g2873 PE=3 SV=1
positive,A0A3B0SDH5,A0A3B0SDH5_9ZZZZ beta-glucosidase OS=hydrothermal vent metagenome OX=652676 GN=MNBD_ACTINO02-2337 PE=4 SV=1
negative,A0A0B4HYE1,A0A0B4HYE1_METMF beta-glucosidase (Fragment) OS=Metarhizium majus (strain ARSEF 297) OX=1276143 GN=MAJ_08863 PE=3 SV=1
positive,A0A1M4TKQ0,A0A1M4TKQ0_9GAMM beta-glucosidase OS=Thermomonas hydrothermalis OX=213588 GN=SAMN02745204_00458 PE=4 SV=1
negative,A0A9P9E0H5,A0A9P9E0H5_9HYPO beta-glucosidase OS=Dactylonectria estremocensis OX=1079267 GN=B0J13DRAFT_645028 PE=3 SV=1
positive,A0A143HPP6,A0A143HPP6_9GAMM beta-glucosidase OS=Microbulbifer thermotolerans OX=252514 GN=A3224_13580 PE=4 SV=1
negative,A0A0Q0G085,A0A0Q0G085_PSESX beta-glucosidase OS=Pseudomonas syringae pv. spinaceae OX=264459 GN=ALO94_200417 PE=3 SV=1
positive,A0A173YQA2,A0A173YQA2_9FIRM Thermostable beta-glucosidase B OS=Blautia wexlerae OX=418240 GN=bglB_1 PE=3 SV=1
negative,A0A1I0R1D1,A0A1I0R1D1_9FIRM beta-glucosidase OS=Ruminococcaceae bacterium KH2T8 OX=1855400 GN=SAMN05216413_2250 PE=3 SV=1
positive,A0A1C5W0N6,A0A1C5W0N6_9FIRM Thermostable beta-glucosidase B OS=uncultured Coprococcus sp OX=458253 GN=bglB_2 PE=3 SV=1
negative,A0A194W729,A0A194W729_9PEZI beta-glucosidase OS=Valsa mali OX=105487 GN=VM1G_07764 PE=3 SV=1
positive,A0A174NEN6,A0A174NEN6_9FIRM Thermostable beta-glucosidase B OS=Agathobacter rectalis OX=39491 GN=bglB_4 PE=3 SV=1
negative,A0A1C4X1S4,A0A1C4X1S4_9ACTN Beta-glucosidase OS=Micromonospora carbonacea OX=47853 GN=GA0070563_104172 PE=3 SV=1
positive,A0A645JJG5,A0A645JJG5_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_19 PE=3 SV=1
negative,A0A416MNQ4,A0A416MNQ4_9FIRM beta-glucosidase OS=Firmicutes bacterium AF25-13AC OX=2292181 GN=DWY36_01905 PE=3 SV=1
positive,A0A1M5R7L9,A0A1M5R7L9_9BACT Beta-glucosidase OS=Thermosipho atlanticus DSM 15807 OX=1123380 GN=SAMN02745199_0378 PE=3 SV=1
negative,G8TIW6,G8TIW6_NIAKG Beta-glucosidase OS=Niastella koreensis (strain DSM 17620 / KACC 11465 / NBRC 106392 / GR20-10) OX=700598 GN=Niako_0058 PE=4 SV=1
positive,A0A1C5S900,A0A1C5S900_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_13 PE=3 SV=1
negative,A0A2W7ANK1,A0A2W7ANK1_9HYPH beta-glucosidase OS=Chelatococcus sp OX=1953771 GN=DI527_01410 PE=3 SV=1
positive,A0A930FTZ8,A0A930FTZ8_9ACTN beta-glucosidase (Fragment) OS=Thermobifida sp OX=2027107 GN=HXL63_07255 PE=3 SV=1
negative,A0A4Y9SBR5,A0A4Y9SBR5_9BURK beta-glucosidase OS=Duganella callida OX=2561932 GN=E4L98_21925 PE=4 SV=1
positive,A0A1C6JF93,A0A1C6JF93_9FIRM Thermostable beta-glucosidase B OS=uncultured Flavonifractor sp OX=1193534 GN=bglB_14 PE=3 SV=1
negative,A0A453D1I1,A0A453D1I1_AEGTS beta-glucosidase OS=Aegilops tauschii subsp. strangulata OX=200361 PE=3 SV=1
positive,A0A7K2C1H5,A0A7K2C1H5_9BACT beta-glucosidase OS=Rhodothermaceae bacterium OX=2026787 GN=F4221_06080 PE=4 SV=1
negative,A0A2E0WZZ8,A0A2E0WZZ8_9PLAN beta-glucosidase OS=Planctomycetaceae bacterium OX=2026779 GN=CMJ58_06785 PE=3 SV=1
positive,A0A662I058,A0A662I058_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRJ55_03970 PE=4 SV=1
negative,N4VJC4,N4VJC4_COLOR beta-glucosidase OS=Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) OX=1213857 GN=bglA PE=3 SV=1
positive,A0A1C5YDD1,A0A1C5YDD1_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_2 PE=3 SV=1
negative,A0A350VVK4,A0A350VVK4_9FIRM beta-glucosidase OS=Eubacterium sp OX=142586 GN=DCY19_02730 PE=3 SV=1
positive,G2QAE3,G2QAE3_THET4 Probable alpha/beta-glucosidase agdC OS=Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) OX=573729 GN=MYCTH_2300079 PE=3 SV=1
negative,A0A2T6D3F8,A0A2T6D3F8_9BACT Glycoside hydrolase family 1 protein OS=Spartobacteria bacterium LR76 OX=2161866 GN=DB345_07120 PE=3 SV=1
positive,A0A7C4PNR7,A0A7C4PNR7_9CHLR Glycosyl hydrolase family protein OS=Anaerolinea thermolimosa OX=229919 GN=ENT37_14010 PE=3 SV=1
negative,A0AAD4V2S1,A0AAD4V2S1_PRUDU beta-glucosidase OS=Prunus dulcis OX=3755 GN=L3X38_036219 PE=4 SV=1
positive,A0A508YIL6,A0A508YIL6_LIMMU Thermostable beta-glucosidase B OS=Limosilactobacillus mucosae OX=97478 GN=bglB PE=3 SV=1
negative,A0A3M7EAF0,A0A3M7EAF0_HORWE beta-glucosidase OS=Hortaea werneckii OX=91943 GN=D0863_03849 PE=3 SV=1
positive,A0A564S9T8,A0A564S9T8_9FIRM Thermostable beta-glucosidase B OS=[Ruminococcus] torques OX=33039 GN=bglB_1 PE=3 SV=1
negative,A0A318I3H4,A0A318I3H4_9BACT beta-glucosidase OS=Hoylesella shahii DSM 15611 = JCM 12083 OX=1122991 GN=EJ73_01345 PE=4 SV=1
positive,A0A1C5TR41,A0A1C5TR41_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_1 PE=3 SV=1
negative,A0A392UEV6,A0A392UEV6_9FABA beta-glucosidase (Fragment) OS=Trifolium medium OX=97028 PE=4 SV=1
positive,A0A0F0LB94,A0A0F0LB94_9MICO Thermostable beta-glucosidase B OS=Microbacterium azadirachtae OX=582680 GN=bglB_1 PE=3 SV=1
negative,A0A0L9VL01,A0A0L9VL01_PHAAN beta-glucosidase OS=Phaseolus angularis OX=3914 GN=LR48_Vigan10g163300 PE=4 SV=1
positive,A0A1Q2HN71,A0A1Q2HN71_9BACT Thermostable beta-glucosidase B OS=Sedimentisphaera cyanobacteriorum OX=1940790 GN=bglB PE=3 SV=1
negative,A0A139QFA8,A0A139QFA8_STRCV Beta-glucosidase / 6-phospho-beta-glucosidase OS=Streptococcus constellatus OX=76860 GN=SCODD09_01549 PE=3 SV=1
positive,S5U834,S5U834_9BACI Beta-glucosidase OS=Anoxybacillus flavithermus subsp. yunnanensis OX=759846 PE=3 SV=1
negative,R7Z0J8,R7Z0J8_CONA1 Probable alpha/beta-glucosidase agdC OS=Coniosporium apollinis (strain CBS 100218) OX=1168221 GN=W97_06932 PE=3 SV=1
positive,A0A2S2CY76,A0A2S2CY76_9PROT Beta-glucosidase OS=Azospirillum thermophilum OX=2202148 GN=DEW08_25905 PE=3 SV=1
negative,A0A166XJR8,A0A166XJR8_9PEZI beta-glucosidase (Fragment) OS=Colletotrichum tofieldiae OX=708197 GN=CT0861_07004 PE=3 SV=1
positive,A0A239PY47,A0A239PY47_9PROT beta-glucosidase OS=Amphiplicatus metriothermophilus OX=1519374 GN=SAMN06297382_2259 PE=4 SV=1
negative,A0A0Q5L9H0,A0A0Q5L9H0_9MICO beta-glucosidase OS=Microbacterium sp. Leaf159 OX=1736279 GN=ASF80_08050 PE=4 SV=1
positive,D6Y6J1,D6Y6J1_THEBD Beta-glucosidase OS=Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51) OX=469371 GN=Tbis_0839 PE=3 SV=1
negative,A0A0N1NFH1,A0A0N1NFH1_9ACTN beta-glucosidase OS=Actinobacteria bacterium OK006 OX=1592326 GN=OK006_6052 PE=3 SV=1
positive,A0A090ZEX2,A0A090ZEX2_PAEMA Thermostable beta-glucosidase B OS=Paenibacillus macerans OX=44252 GN=bglB PE=3 SV=1
negative,A0A076PXG8,A0A076PXG8_9PEZI beta-glucosidase (Fragment) OS=Lophodermium sp. ZY-2014 OX=1535200 PE=2 SV=1
positive,A0A7U9XPF4,A0A7U9XPF4_9FIRM Thermostable beta-glucosidase B OS=Lachnospiraceae bacterium OX=1898203 GN=bglB_4 PE=3 SV=1
negative,A0A8H6PYZ7,A0A8H6PYZ7_9EURO beta-glucosidase OS=Aspergillus hiratsukae OX=1194566 GN=CNMCM6106_009546 PE=3 SV=1
positive,A0A2P4UGB2,A0A2P4UGB2_9ACTN Thermostable beta-glucosidase B OS=Actinomadura rubteroloni OX=1926885 GN=bglB PE=3 SV=1
negative,A0A6H1W2Q6,A0A6H1W2Q6_9MICO Beta-glucosidase OS=Leifsonia sp. PS1209 OX=2724914 GN=HF024_01475 PE=3 SV=1
positive,A0A498QWX6,A0A498QWX6_9MYCO Thermostable beta-glucosidase B OS=Mycobacterium pseudokansasii OX=2341080 GN=bglB_2 PE=3 SV=1
negative,A0A3E1BEN1,A0A3E1BEN1_RHILT Beta-glucosidase OS=Rhizobium leguminosarum bv. trifolii OX=386 GN=B5K10_20005 PE=3 SV=1
positive,A0A3E0QQ15,A0A3E0QQ15_9BACL Beta-glucosidase OS=Thermobacillus sp OX=2108467 GN=C6W55_16150 PE=3 SV=1
negative,A0A4R0JCM8,A0A4R0JCM8_9ACTN Beta-glucosidase OS=Kribbella capetownensis OX=1572659 GN=E0H75_37520 PE=3 SV=1
positive,A0A1V6FAT8,A0A1V6FAT8_9BACT Thermostable beta-glucosidase B OS=Tenericutes bacterium ADurb.Bin087 OX=1852918 GN=bglB PE=3 SV=1
negative,A0A4Z1GKZ7,A0A4Z1GKZ7_9HELO beta-glucosidase OS=Botrytis hyacinthi OX=278943 GN=BHYA_0099g00340 PE=3 SV=1
positive,A0A168F7A6,A0A168F7A6_9MICO Thermostable beta-glucosidase B OS=Isoptericola dokdonensis DS-3 OX=1300344 GN=bglB_3 PE=3 SV=1
negative,A0A2E6Z400,A0A2E6Z400_9GAMM Beta-glucosidase OS=Rheinheimera sp OX=1869214 GN=CML21_09260 PE=3 SV=1
positive,B5YDF9,B5YDF9_DICT6 beta-glucosidase OS=Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12) OX=309799 GN=DICTH_0696 PE=4 SV=1
negative,A0A8H4CIT7,A0A8H4CIT7_COLGL beta-glucosidase OS=Colletotrichum gloeosporioides OX=474922 GN=GCG54_00012087 PE=3 SV=1
positive,A0A949VFB7,A0A949VFB7_9CHLR Thermostable beta-glucosidase B OS=Anaerolineales bacterium OX=2073117 GN=bglB_1 PE=3 SV=1
negative,A0A6A5XHZ6,A0A6A5XHZ6_9PLEO beta-glucosidase OS=Aaosphaeria arxii CBS 175.79 OX=1450172 GN=BU24DRAFT_412489 PE=3 SV=1
positive,A0A9X1HLP6,A0A9X1HLP6_9BACT beta-glucosidase OS=Rhodothermaceae bacterium OX=2026787 GN=LC662_11460 PE=3 SV=1
negative,A0A9P4H3S0,A0A9P4H3S0_9PLEO beta-glucosidase OS=Setomelanomma holmii OX=210430 GN=EK21DRAFT_74041 PE=3 SV=1
positive,A0A3G1A4L3,A0A3G1A4L3_9CREN Beta-galactosidase / Beta-glucosidase / Beta-fucosidase OS=Thermofilum adornatum 1505 OX=697581 GN=TCARB_0424 PE=3 SV=1
negative,A0A5J6YSZ9,A0A5J6YSZ9_9DEIO beta-glucosidase OS=Deinococcus sp. AJ005 OX=2652443 GN=DAAJ005_09725 PE=4 SV=1
positive,A0A1C6ET15,A0A1C6ET15_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_3 PE=3 SV=1
negative,A0A850MKU6,A0A850MKU6_9ARCH beta-glucosidase OS=Candidatus Helarchaeota archaeon OX=2719382 GN=HWN65_24370 PE=3 SV=1
positive,A0A660QNN0,A0A660QNN0_9BACT Beta-glucosidase OS=Thermotogota bacterium OX=2053689 GN=DRP23_02820 PE=3 SV=1
negative,A0A0G3V326,A0A0G3V326_9ACTN Beta-glucosidase-like glycosyl hydrolase OS=Actinobacteria bacterium IMCC26256 OX=1650658 GN=IMCC26256_111541 PE=3 SV=1
